OTU,Cluster,SoilSource,Treatment,IndVal,Prob,Phylum,Class,Order,Family,Genus
Otu00010,avM,grass,unfertilized,0.310000941,0.035,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu00024,avM,grass,unfertilized,0.333729923,0.008,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu00043,avM,grass,unfertilized,0.291005291,0.028,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu00049,avM,grass,unfertilized,0.237585616,0.011,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_order_incertae_sedis,Alphaproteobacteria_family_incertae_sedis,Rhizomicrobium
Otu00058,avM,grass,unfertilized,0.2605606,0.04,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
Otu00067,avM,grass,unfertilized,0.263463132,0.042,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
Otu00076,avM,grass,unfertilized,0.3950783,0.009,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu00027,avMF,grass,fertilized,0.298141003,0.004,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu00050,avMF,grass,fertilized,0.285289116,0.02,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiales_unclassified,Acidimicrobiales_unclassified
Otu00011,bulkM,bulk,unfertilized,0.379385015,0.02,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu00029,bulkM,bulk,unfertilized,0.354669465,0.001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
Otu00031,bulkM,bulk,unfertilized,0.35,0.007,Acidobacteria,Acidobacteria_Gp2,Acidobacteria_Gp2_order_incertae_sedis,Acidobacteria_Gp2_family_incertae_sedis,Gp2
Otu00038,bulkM,bulk,unfertilized,0.241904235,0.037,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified
Otu00039,bulkM,bulk,unfertilized,0.449111054,0.001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
Otu00042,bulkM,bulk,unfertilized,0.310497614,0.04,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
Otu00046,bulkM,bulk,unfertilized,0.437194127,0.001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
Otu00060,bulkM,bulk,unfertilized,0.276007678,0.012,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00063,bulkM,bulk,unfertilized,0.504123711,0.001,Acidobacteria,Acidobacteria_Gp2,Acidobacteria_Gp2_order_incertae_sedis,Acidobacteria_Gp2_family_incertae_sedis,Gp2
Otu00064,bulkM,bulk,unfertilized,0.568976684,0.002,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
Otu00068,bulkM,bulk,unfertilized,0.463254593,0.005,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Gp1
Otu00078,bulkM,bulk,unfertilized,0.428509344,0.002,Acidobacteria,Acidobacteria_Gp13,Acidobacteria_Gp13_order_incertae_sedis,Acidobacteria_Gp13_family_incertae_sedis,Gp13
Otu00104,bulkM,bulk,unfertilized,0.555468135,0.014,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu00013,bulkMF,bulk,fertilized,0.332338825,0.001,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinoallomurus
Otu00016,bulkMF,bulk,fertilized,0.348559166,0.005,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified
Otu00057,bulkMF,bulk,fertilized,0.390559574,0.001,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Gp1
Otu00059,bulkMF,bulk,fertilized,0.25419882,0.044,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00034,ecM,forb,unfertilized,0.407760814,0.006,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu00044,ecM,forb,unfertilized,0.344039735,0.007,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Gp1
Otu00055,ecM,forb,unfertilized,0.25407279,0.002,Acidobacteria,Acidobacteria_Gp3,Acidobacteria_Gp3_order_incertae_sedis,Acidobacteria_Gp3_family_incertae_sedis,Gp3
Otu00023,ecMF,forb,fertilized,0.442023346,0.028,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu00026,ecMF,forb,fertilized,0.248037677,0.026,Acidobacteria,Acidobacteria_Gp1,Acidobacteria_Gp1_order_incertae_sedis,Acidobacteria_Gp1_family_incertae_sedis,Gp1
