"","Sample","Abundance","Kingdom","Phylum","Class","Order","Family"
"1","avMF",0.0227648030195801,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiales_unclassified"
"2","bulkMF",0.0209263761209409,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiales_unclassified"
"3","ecMF",0.0189541561971181,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiales_unclassified"
"4","ecM",0.01241628362815,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiales_unclassified"
"5","bulkM",0.0123011727314195,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiales_unclassified"
"6","avM",0.0120292121373436,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Acidimicrobiales_unclassified"
"7","bulkMF",0.0152480157132967,"Bacteria","Actinobacteria","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified"
"8","ecMF",0.010707784216194,"Bacteria","Actinobacteria","Actinobacteria","Actinobacteria_unclassified","Actinobacteria_unclassified"
"9","bulkMF",0.0172749665931448,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified"
"10","ecMF",0.0145585482795754,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified"
"11","avMF",0.0145429195323038,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified"
"12","avM",0.0112390204950759,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified"
"13","avMF",0.0232139292648847,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae"
"14","ecMF",0.0215533818778524,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae"
"15","avM",0.0208643864785733,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae"
"16","ecM",0.0187771831479072,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae"
"17","bulkMF",0.0145895384219085,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae"
"18","bulkM",0.0135842615617781,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae"
"19","bulkMF",0.0555825672564519,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified"
"20","ecMF",0.0473901979385673,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified"
"21","avMF",0.0380668517611193,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified"
"22","bulkM",0.02931387119083,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified"
"23","ecM",0.0248342836350155,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified"
"24","avM",0.0230602874634016,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacterales_unclassified"
"25","bulkMF",0.017068890570412,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"26","avMF",0.0114988416474616,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
