"","Sample","Abundance","Kingdom","Phylum","Class"
"1","ecM",0.109178850094916,"Bacteria","Acidobacteria","Acidobacteria_Gp1"
"2","bulkMF",0.0974852285350893,"Bacteria","Acidobacteria","Acidobacteria_Gp1"
"3","avMF",0.0889133866840873,"Bacteria","Acidobacteria","Acidobacteria_Gp1"
"4","bulkM",0.0884919291946852,"Bacteria","Acidobacteria","Acidobacteria_Gp1"
"5","avM",0.0804731168485494,"Bacteria","Acidobacteria","Acidobacteria_Gp1"
"6","ecMF",0.0748743654171581,"Bacteria","Acidobacteria","Acidobacteria_Gp1"
"7","bulkM",0.0496431777048601,"Bacteria","Acidobacteria","Acidobacteria_Gp2"
"8","bulkMF",0.0456216895013926,"Bacteria","Acidobacteria","Acidobacteria_Gp2"
"9","avMF",0.024768480713279,"Bacteria","Acidobacteria","Acidobacteria_Gp2"
"10","ecMF",0.0185775729449772,"Bacteria","Acidobacteria","Acidobacteria_Gp2"
"11","ecM",0.0155812859795888,"Bacteria","Acidobacteria","Acidobacteria_Gp2"
"12","avM",0.0154661298908704,"Bacteria","Acidobacteria","Acidobacteria_Gp2"
"13","ecM",0.0195323897827408,"Bacteria","Acidobacteria","Acidobacteria_Gp3"
"14","avMF",0.0178002189679472,"Bacteria","Acidobacteria","Acidobacteria_Gp3"
"15","bulkMF",0.015986991451065,"Bacteria","Acidobacteria","Acidobacteria_Gp3"
"16","avM",0.015030276816609,"Bacteria","Acidobacteria","Acidobacteria_Gp3"
"17","bulkM",0.0146201497917924,"Bacteria","Acidobacteria","Acidobacteria_Gp3"
"18","ecMF",0.0126916568381109,"Bacteria","Acidobacteria","Acidobacteria_Gp3"
"19","avMF",0.0114353288450953,"Bacteria","Acidobacteria","Acidobacteria_Gp6"
"20","bulkMF",0.0108077214109768,"Bacteria","Acidobacteria","Acidobacteria_Gp6"
"21","bulkMF",0.161111200553829,"Bacteria","Actinobacteria","Actinobacteria"
"22","ecMF",0.142225078201118,"Bacteria","Actinobacteria","Actinobacteria"
"23","avMF",0.136962333883778,"Bacteria","Actinobacteria","Actinobacteria"
"24","bulkM",0.0890275304954312,"Bacteria","Actinobacteria","Actinobacteria"
"25","avM",0.0827255789193505,"Bacteria","Actinobacteria","Actinobacteria"
"26","ecM",0.0820549172533821,"Bacteria","Actinobacteria","Actinobacteria"
"27","ecM",0.286195852542472,"Bacteria","Proteobacteria","Alphaproteobacteria"
"28","avM",0.27695634815012,"Bacteria","Proteobacteria","Alphaproteobacteria"
"29","bulkM",0.254092788511058,"Bacteria","Proteobacteria","Alphaproteobacteria"
"30","avMF",0.246992215145081,"Bacteria","Proteobacteria","Alphaproteobacteria"
"31","ecMF",0.223328290856879,"Bacteria","Proteobacteria","Alphaproteobacteria"
"32","bulkMF",0.215198106676541,"Bacteria","Proteobacteria","Alphaproteobacteria"
"33","bulkMF",0.139754962729219,"Bacteria","Bacteria_unclassified","Bacteria_unclassified"
"34","ecMF",0.130626314035178,"Bacteria","Bacteria_unclassified","Bacteria_unclassified"
"35","avMF",0.114938513558471,"Bacteria","Bacteria_unclassified","Bacteria_unclassified"
"36","bulkM",0.0927002251291182,"Bacteria","Bacteria_unclassified","Bacteria_unclassified"
"37","ecM",0.0693605802733162,"Bacteria","Bacteria_unclassified","Bacteria_unclassified"
"38","avM",0.0635863055629492,"Bacteria","Bacteria_unclassified","Bacteria_unclassified"
"39","ecMF",0.0269345161786575,"Bacteria","Proteobacteria","Betaproteobacteria"
"40","avMF",0.0204496101523702,"Bacteria","Proteobacteria","Betaproteobacteria"
"41","bulkMF",0.0193196271311964,"Bacteria","Proteobacteria","Betaproteobacteria"
"42","ecM",0.0184699513578272,"Bacteria","Proteobacteria","Betaproteobacteria"
"43","bulkM",0.0173099277526817,"Bacteria","Proteobacteria","Betaproteobacteria"
"44","avM",0.0166805296779345,"Bacteria","Proteobacteria","Betaproteobacteria"
"45","bulkMF",0.0222433307037174,"Bacteria","Proteobacteria","Deltaproteobacteria"
"46","bulkM",0.0189226173834994,"Bacteria","Proteobacteria","Deltaproteobacteria"
"47","avMF",0.0176852910398558,"Bacteria","Proteobacteria","Deltaproteobacteria"
"48","ecMF",0.0160937259627711,"Bacteria","Proteobacteria","Deltaproteobacteria"
"49","ecM",0.0153203964148281,"Bacteria","Proteobacteria","Deltaproteobacteria"
"50","avM",0.0151633617247804,"Bacteria","Proteobacteria","Deltaproteobacteria"
"51","avMF",0.0517069821740735,"Bacteria","Proteobacteria","Gammaproteobacteria"
"52","bulkMF",0.0489849145911484,"Bacteria","Proteobacteria","Gammaproteobacteria"
"53","ecMF",0.0402719732321419,"Bacteria","Proteobacteria","Gammaproteobacteria"
"54","bulkM",0.0369506040228955,"Bacteria","Proteobacteria","Gammaproteobacteria"
"55","avM",0.0332945169017833,"Bacteria","Proteobacteria","Gammaproteobacteria"
"56","ecM",0.0289226977354099,"Bacteria","Proteobacteria","Gammaproteobacteria"
"57","bulkMF",0.0150532094730572,"Bacteria","Chloroflexi","Ktedonobacteria"
"58","bulkM",0.0111681699798414,"Bacteria","Chloroflexi","Ktedonobacteria"
"59","avM",0.242889938780942,"Bacteria","Planctomycetes","Planctomycetacia"
"60","ecM",0.226579154237224,"Bacteria","Planctomycetes","Planctomycetacia"
"61","ecMF",0.187017652940875,"Bacteria","Planctomycetes","Planctomycetacia"
"62","bulkM",0.163479054163417,"Bacteria","Planctomycetes","Planctomycetacia"
"63","avMF",0.142813072749378,"Bacteria","Planctomycetes","Planctomycetacia"
"64","bulkMF",0.0789061871105888,"Bacteria","Planctomycetes","Planctomycetacia"
"65","ecM",0.0167896165953225,"Bacteria","Proteobacteria","Proteobacteria_unclassified"
"66","avM",0.0132203220654778,"Bacteria","Proteobacteria","Proteobacteria_unclassified"
"67","avM",0.110041256321533,"Bacteria","Verrucomicrobia","Spartobacteria"
"68","bulkM",0.103730080487338,"Bacteria","Verrucomicrobia","Spartobacteria"
"69","ecM",0.07194373024019,"Bacteria","Verrucomicrobia","Spartobacteria"
"70","avMF",0.0481079233733162,"Bacteria","Verrucomicrobia","Spartobacteria"
"71","ecMF",0.0472443720834829,"Bacteria","Verrucomicrobia","Spartobacteria"
"72","bulkMF",0.042567578445736,"Bacteria","Verrucomicrobia","Spartobacteria"
"73","ecMF",0.0139143505461258,"Bacteria","Bacteroidetes","Sphingobacteria"
