sample,label,year,source,fertilized,mowed,treatment,block,ditch,temp1_C,temp2_C,temp3_C,avg_temp,moist_percent,mcf,pH,c_percent,n_percent,TN_mg_g,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil,p_po4_hcl_ug_gsoil,p_po4_hcl_mg_gsoil,p-po4_w_ug_gsoil,bio_NP,tot_NP,percent_om
WRC15_033,WRC15_033-C-1,2015,bulk,uf,um,C,1,1,22,21.3,21.5,21.6,19.3,0.8,4.98,5.27,0.3,3,17.5667,2.7932,0.8524,NA,NA,NA,NA,NA,NA
WRC15_034,WRC15_034-F-1,2015,bulk,f,um,F,1,1,21.8,22.1,21.9,21.93333333,19.8,0.8,4.94,4.08,0.24,2.4,17,3.7068,1.1045,NA,NA,NA,NA,NA,NA
WRC15_035,WRC15_035-M-1,2015,bulk,uf,m,M,1,1,22.5,22.5,22.5,22.5,19.8,0.8,5.38,4.72,0.27,2.7,17.4815,2.5997,0.581,NA,NA,NA,NA,NA,NA
WRC15_036,WRC15_036-MF-1,2015,bulk,f,m,MF,1,1,22.5,22.2,22.6,22.43333333,19.3,0.8,5.48,3.72,0.24,2.4,15.5,2.7573,0.6413,NA,NA,NA,NA,NA,NA
WRC15_037,WRC15_037-C-2,2015,bulk,uf,um,C,2,0,22.1,21.9,21.8,21.93333333,19.1,0.8,4.5,4.16,0.2,2,20.8,1.7522,0.7541,NA,NA,NA,NA,NA,NA
WRC15_038,WRC15_038-F-2,2015,bulk,f,um,F,2,0,22.2,21.7,21.8,21.9,19.2,0.8,4.47,4.31,0.21,2.1,20.5238,1.4202,0.2858,NA,NA,NA,NA,NA,NA
WRC15_039,WRC15_039-M-2,2015,bulk,uf,m,M,2,0,23,22.5,23.1,22.86666667,19.1,0.8,4.74,3.74,0.23,2.3,16.2609,1.2356,0.9897,NA,NA,NA,NA,NA,0.105586294
WRC15_040,WRC15_040-MF-2,2015,bulk,f,m,MF,2,0,23.7,23.7,23,23.46666667,19.5,0.8,5.16,3.19,0.16,1.6,19.9375,1.6306,0.6924,NA,NA,NA,NA,NA,0.111584235
WRC15_041,WRC15_041-C-3,2015,bulk,uf,um,C,3,1,22.1,22,22,22.03333333,19.7,0.8,4.92,3.37,0.2,2,16.85,2.0451,1.277,NA,NA,NA,NA,NA,NA
WRC15_042,WRC15_042-F-3,2015,bulk,f,um,F,3,1,22.5,21.8,22.3,22.2,19.5,0.8,4.7,6.42,0.35,3.5,18.3429,2.1573,0.8156,NA,NA,NA,NA,NA,NA
WRC15_043,WRC15_043-M-3,2015,bulk,uf,m,M,3,1,23.7,23.7,23.8,23.73333333,19.2,0.8,5.42,3.15,0.19,1.9,16.5789,2.0334,0.8006,NA,NA,NA,NA,NA,NA
WRC15_044,WRC15_044-MF-3,2015,bulk,f,m,MF,3,1,22.5,22.9,22.6,22.66666667,19.3,0.8,5.23,4.43,0.24,2.4,18.4583,2.0259,0,NA,NA,NA,NA,NA,NA
WRC15_045,WRC15_045-C-4,2015,bulk,uf,um,C,4,0,21.4,22.5,22.5,22.13333333,19,0.8,5,4.48,0.22,2.2,20.3636,2.5526,0.1781,NA,NA,NA,NA,NA,NA
WRC15_046,WRC15_046-F-4,2015,bulk,f,um,F,4,0,21.8,22.3,21.7,21.93333333,19,0.8,4.84,3.22,0.18,1.8,17.8889,2.4711,0.349,NA,NA,NA,NA,NA,NA
WRC15_047,WRC15_047-M-4,2015,bulk,uf,m,M,4,0,23.6,24.2,23.8,23.86666667,19.9,0.8,5.05,3.01,0.16,1.6,18.8125,2.5644,0.4723,NA,NA,NA,NA,NA,0.098433683
WRC15_048,WRC15_048-MF-4,2015,bulk,f,m,MF,4,0,23.3,23.2,23.1,23.2,19.2,0.8,5.28,4.58,0.24,2.4,19.0833,1.6495,0.5323,NA,NA,NA,NA,NA,0.148429898
WRC15_049,WRC15_049-C-5,2015,bulk,uf,um,C,5,1,22.5,22.6,22.2,22.43333333,19,0.8,5.05,2.98,0.18,1.8,16.5556,1.8642,0.1004,NA,NA,NA,NA,NA,NA
WRC15_050,WRC15_050-F-5,2015,bulk,f,um,F,5,1,21.6,21.8,22.1,21.83333333,19.2,0.8,4.74,4.72,0.26,2.6,18.1538,2.1631,0.4827,NA,NA,NA,NA,NA,NA
WRC15_051,WRC15_051-M-5,2015,bulk,uf,m,M,5,1,23.2,23.2,23.2,23.2,19.2,0.8,5.21,3.52,0.19,1.9,18.5263,1.4924,0.2348,NA,NA,NA,NA,NA,NA
WRC15_052,WRC15_052-MF-5,2015,bulk,f,m,MF,5,1,22.4,22.3,22.5,22.4,19.1,0.8,5.12,4.63,0.22,2.2,21.0455,2.6246,0.2073,NA,NA,NA,NA,NA,NA
WRC15_053,WRC15_053-C-6,2015,bulk,uf,um,C,6,0,22.1,21.8,21.6,21.83333333,19.1,0.8,4.64,4.29,0.23,2.3,18.6522,3.1865,0,NA,NA,NA,NA,NA,NA
WRC15_054,WRC15_054-F-6,2015,bulk,f,um,F,6,0,21.8,22.5,22,22.1,19.2,0.8,4.77,3.72,0.2,2,18.6,3.3627,0.559,NA,NA,NA,NA,NA,NA
WRC15_055,WRC15_055-M-6,2015,bulk,uf,m,M,6,0,23.2,22.4,23.3,22.96666667,19.1,0.8,4.95,4.44,0.24,2.4,18.5,3.5107,0.262,NA,NA,NA,NA,NA,0.138381239
WRC15_056,WRC15_056-MF-6,2015,bulk,f,m,MF,6,0,22,23.1,22.8,22.63333333,19.2,0.8,5.25,3.92,0.22,2.2,17.8182,2.182,0.4673,NA,NA,NA,NA,NA,0.129669193
WRC15_057,WRC15_057-C-7,2015,bulk,uf,um,C,7,1,22.3,22.2,21.8,22.1,19.3,0.8,4.95,3.16,0.2,2,15.8,1.6898,0.5514,NA,NA,NA,NA,NA,NA
WRC15_058,WRC15_058-F-7,2015,bulk,f,um,F,7,1,21.5,21.6,22.2,21.76666667,19.2,0.8,4.64,4.1,0.24,2.4,17.0833,2.0189,0.3997,NA,NA,NA,NA,NA,NA
WRC15_059,WRC15_059-M-7,2015,bulk,uf,m,M,7,1,22.8,23,22.8,22.86666667,19.1,0.8,5.16,2.77,0.17,1.7,16.2941,1.5726,0,NA,NA,NA,NA,NA,NA
WRC15_060,WRC15_060-MF-7,2015,bulk,f,m,MF,7,1,22.6,22.5,22.8,22.63333333,19.5,0.8,5.39,3.14,0.18,1.8,17.4444,2.2569,0,NA,NA,NA,NA,NA,NA
WRC15_061,WRC15_061-C-8,2015,bulk,uf,um,C,8,0,22.8,22.2,22.3,22.43333333,19.6,0.8,5.1,3.33,0.21,2.1,15.8571,2.6843,0,NA,NA,NA,NA,NA,NA
WRC15_062,WRC15_062-F-8,2015,bulk,f,um,F,8,0,22.4,22.3,22.6,22.43333333,19.7,0.8,4.9,3.25,0.19,1.9,17.1053,2.7871,0,NA,NA,NA,NA,NA,NA
WRC15_063,WRC15_063-M-8,2015,bulk,uf,m,M,8,0,23.4,23.1,23,23.16666667,19.3,0.8,5.08,3.57,0.19,1.9,18.7895,3.3114,0.2008,NA,NA,NA,NA,NA,0.095701409
WRC15_064,WRC15_064-MF-8,2015,bulk,f,m,MF,8,0,22,22.3,21.6,21.96666667,19.8,0.8,5.36,3.79,0.22,2.2,17.2273,3.889,0.4613,NA,NA,NA,NA,NA,0.12288011
WRC15_081,WRC15_081-M-AV-2,2015,grass,uf,m,M,2,0,23,22.5,23.1,22.86666667,19.1,0.8,4.05,4.23,0.24,2.4,17.625,3.782,2.4694,NA,NA,NA,NA,NA,0.125254429
WRC15_082,WRC15_082-MF-AV-2,2015,grass,f,m,MF,2,0,23.7,23.7,23,23.46666667,19.1,0.8,4.49,6.63,0.37,3.7,17.9189,3.4487,1.2237,NA,NA,NA,NA,NA,0.160123237
