"","otu","Treatment","avgAbund","Domain","Phylum","Class","Order","Family","Genus"
"1","Otu00079","MF",0.00342909079797708,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales","Rhizobiales"
"2","Otu00092","M",0.00103515841620762,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacterales","Ktedonobacterales"
"3","Otu00092","MF",0.00238419179698703,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacterales","Ktedonobacterales"
"4","Otu00100","MF",0.00339062133570222,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"5","Otu00106","MF",0.00253258736301698,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria"
"6","Otu00117","MF",0.00155277647187678,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"7","Otu00131","MF",0.00132679483458093,"Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinobacteria"
"8","Otu00137","MF",0.00234755596397456,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"9","Otu00138","MF",0.00185188550807024,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacterales","Ktedonobacterales"
"10","Otu00165","MF",0.00199157143320908,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae"
"11","Otu00182","MF",0.0046263598486715,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales","Rhizobiales"
"12","Otu00183","MF",0.00138729660898905,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"13","Otu00197","M",0.00129439206281415,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales","Rhizobiales"
"14","Otu00223","MF",0.00131186203338615,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales","Myxococcales"
"15","Otu00247","M",0.00211147795832746,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"16","Otu00249","M",0.00145367099849914,"Bacteria","Acidobacteria","Acidobacteria Gp1","Acidobacteria Gp1 order incertae sedis","Acidobacteria Gp1","Gp1"
"17","Otu00251","MF",0.00125924587596976,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"18","Otu00252","M",0.00156985473519764,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"19","Otu00259","M",0.00244897959183673,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"20","Otu00261","M",0.00136645962732919,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Betaproteobacteria","Betaproteobacteria"
"21","Otu00267","M",0.00125879354797078,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"22","Otu00269","M",0.00179413880870121,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales","Rhizobiales"
"23","Otu00269","MF",0.00110802071320354,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales","Rhizobiales"
