"","otu","Treatment","avgAbund","Domain","Phylum","Class","Order","Family","Genus"
"1","Otu00092","M",0.000969763638205793,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacterales","Ktedonobacterales"
"2","Otu00092","MF",0.00187738809628317,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacterales","Ktedonobacterales"
"3","Otu00100","MF",0.00283320928208094,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"4","Otu00106","MF",0.00218698403750454,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria"
"5","Otu00137","MF",0.00212607508851772,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"6","Otu00145","MF",0.0037829574452864,"Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter"
"7","Otu00165","MF",0.00137703008593632,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae"
"8","Otu00182","MF",0.00304763733318882,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales","Rhizobiales"
"9","Otu00194","M",0.00116653636932951,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales","Rhodospirillales"
"10","Otu00221","MF",0.00108997997165138,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"11","Otu00252","M",0.0018532485442119,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"12","Otu00267","M",0.00120892163087443,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"13","Otu00268","M",0.00123669736713639,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"14","Otu00277","MF",0.000888402337357891,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"15","Otu00287","MF",0.00146007649566895,"Bacteria","Acidobacteria","Acidobacteria Gp1","Acidobacteria Gp1 order incertae sedis","Acidobacteria Gp1","Gp1"
"16","Otu00306","MF",0.0034922736299103,"Bacteria","Acidobacteria","Acidobacteria Gp1","Acidobacteria Gp1 order incertae sedis","Acidobacteria Gp1","Gp1"
"17","Otu00316","MF",0.000981488667229691,"Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteria order incertae sedis","Spartobacteria","Spartobacteria"
"18","Otu00322","MF",0.000753235488804182,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria"
"19","Otu00333","M",0.00082502279668254,"Bacteria","Acidobacteria","Acidobacteria Gp1","Acidobacteria Gp1 order incertae sedis","Acidobacteria Gp1","Gp1"
"20","Otu00333","MF",0.00083108605752835,"Bacteria","Acidobacteria","Acidobacteria Gp1","Acidobacteria Gp1 order incertae sedis","Acidobacteria Gp1","Gp1"
"21","Otu00344","M",0.000919613209572324,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"22","Otu00359","M",0.000970434471598285,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"23","Otu00375","MF",0.000800888939183552,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Gammaproteobacteria","Gammaproteobacteria"
"24","Otu00382","MF",0.000891268151349369,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae"
"25","Otu00391","MF",0.00124876832410655,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonadaceae"
"26","Otu00395","MF",0.000872302370838358,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"27","Otu00398","MF",0.00104471228343255,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Zavarzinella"
"28","Otu00418","MF",0.000897473572183085,"Bacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria"
"29","Otu00429","MF",0.000970017837108148,"Bacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria"
"30","Otu00449","M",0.000872197090506721,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"31","Otu00449","MF",0.000897473572183085,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"32","Otu00492","MF",0.000862610011434598,"Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinobacteria"
"33","Otu00511","MF",0.000932528414070662,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae"
"34","Otu00522","M",0.00107451116342398,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"35","Otu00527","MF",0.0010727899385999,"Bacteria","Acidobacteria","Acidobacteria Gp1","Acidobacteria Gp1 order incertae sedis","Acidobacteria Gp1","Gp1"
"36","Otu00528","MF",0.00104996462075734,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Thermomonosporaceae"
"37","Otu00538","MF",0.000813891173579488,"Bacteria","Verrucomicrobia","Verrucomicrobia","Verrucomicrobia","Verrucomicrobia","Verrucomicrobia"
"38","Otu00539","M",0.00120074878992863,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae"
"39","Otu00539","MF",0.000844536760174385,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae"
"40","Otu00547","M",0.00091104805203494,"Bacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria"
"41","Otu00564","M",0.00098446484640111,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria order incertae sedis","Alphaproteobacteria","Rhizomicrobium"
"42","Otu00593","MF",0.0012097418456552,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Acidothermaceae","Acidothermus"
"43","Otu00602","M",0.0008396524229505,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"44","Otu00603","M",0.000880051908146447,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria","Alphaproteobacteria"
"45","Otu00625","MF",0.000753235488804182,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae"
"46","Otu00634","M",0.00128278752712872,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"47","Otu00695","MF",0.00150647097760836,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"48","Otu00722","MF",0.00114126589212755,"Bacteria","Verrucomicrobia","Subdivision3","Subdivision3 order incertae sedis","Subdivision3","3 genus incertae sedis"
"49","Otu00874","MF",0.00133218344867237,"Bacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria","Proteobacteria"
"50","Otu00916","MF",0.000945519942972065,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae"
"51","Otu00951","M",0.000830901343768035,"Bacteria","Bacteria","Bacteria","Bacteria","Bacteria","Bacteria"
"52","Otu01121","M",0.000872593841128256,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera"
"53","Otu01135","MF",0.000776060806646733,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"54","Otu01221","MF",0.00134669375271051,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae"
